Title,Duration,Company,Location
Junior Data Scientist,"$17,000 a month",Thinkcol Limited,"Remote in Tin Hau, Hong Kong Island"
Data Scientist (Gen AI Project),"$40,000 - $50,000 a month","Aquis Search, EA Licence No: 16S8125",Hong Kong
Data Scientist/ Data Analyst/ Banking/25k-90k,"$25,000 - $90,000 a month",Gravitas Recruitment Group,Hong Kong
Data Scientist - Private banking,"$65,000 - $85,000 a year",Sanderson-iKas,Hong Kong
Chief Data Scientist – Deep Learning AI,Full-time,Charterhouse Limited,Hong Kong
Data Scientist (Gen AI Project),Temporary +1,Aquis Search Limited,Hong Kong
Senior Data Scientist- Hong Kong,Full-time,ELEVATE Hong Kong Holdings Limited,Hong Kong
Junior Data Scientist/ Data Scientist- Hong Kong,Full-time,ELEVATE Hong Kong Holdings Limited,Hong Kong
Data Scientist,Full-time +1,Cathay Pacific Airways Ltd,Hong Kong
Data Scientist - Hong Kong,Full-time,ELEVATE Hong Kong Holdings Limited,Hong Kong
Data Scientist,Full-time,Phoenix Lab Limited,Hong Kong
Data Scientist / Computational Scientist,Full-time,Clustertech Limited,Hong Kong
Part time Assistant - Research/ Data Science/ CRM/ Digital Marketing,Part-time,AS Watson Retail (HK) Limited,Hong Kong
Solutions Consulting Internship/ Part-time,Part-time,TransUnion Limited,Hong Kong
Data Analytics Intern (Start from May/ June),Part-time +1,AXA Hong Kong,Hong Kong
Part-time Data Science Administrator,$80 an hour,The Hong Kong Jockey Club,"Happy Valley, Hong Kong Island"
Junior Data Scientist/ Data Scientist - Hong Kong,Full-time,ELEVATE,"Quarry Bay, Hong Kong Island"
Senior Consultant (AI / Data Analytics) - IC,"$30,000 - $50,000 a month",Classy Wheeler,"Quarry Bay, Hong Kong Island"
Consultant - Data Science & Analytics,Permanent,Sia Partners,"Wan Chai, Hong Kong Island"
Data Scientist (Full-time/Part-time),Full-time +1,Active Intelligence Holdings,"Central, Hong Kong Island"
Data Analytics & AI Consulting Manager - IC,"$60,000 - $90,000 a month",Classy Wheeler,"Quarry Bay, Hong Kong Island"
AI Machine Learning Development Manager,"$45,000 - $60,000 a month",JFE Consulting Limited,"Quarry Bay, Hong Kong Island"
AI Specialist,Permanent,Infotech Services,"North Point, Hong Kong Island"
Data Analyst - 35k MAX (Deliver data analytics solutions),"$30,000 a month",Protiviti,"Wan Chai, Hong Kong Island"
"People Analytics, Assistant Manager",Full-time,DFI Retail Group,Hong Kong
Assistant Data Analytics Lead,Permanent,Swire Properties,"Quarry Bay, Hong Kong Island"
Senior / Data Analyst (Data Scientist),Permanent,Bank Of China (Hong Kong) Limited,Hong Kong
Data Solutions Manager - Data Science and Governance,"$40,000 - $90,000 a year",Gravitas Recruitment Group,Hong Kong
6-month/ 12-month Full-Time Student Placement - Data Management & Analytics,Permanent,DBS Bank (Hong Kong) Limited,Hong Kong
Programmer (Data Science),Contract renewal,Logistics and Supply Chain MultiTech R&D Centre...,Hong Kong
Data Scientist - IC,"$40,000 - $65,000 a month",Classy Wheeler,"Kowloon Bay, Kowloon"
Senior Data Scientist - Hong Kong / London,Full-time,ELEVATE,"Quarry Bay, Hong Kong Island"
Data Architect / Scientist / Warehouse Consultant / Analyst - IC,"$30,000 - $70,000 a month",Classy Wheeler,"Quarry Bay, Hong Kong Island"
Product Manager / Data Scientist / Data Analyst - IC,"$40,000 - $80,000 a month",Classy Wheeler,"Ngau Tau Kok, Kowloon"
Data Science Analyst,Full-time,The Cigna Group,"Kwun Tong, Kowloon"
Data Scientist x 1,"$52,000 a month",Pacific Careers,"Quarry Bay, Hong Kong Island"
AI Architect / System Architect / Product Architect,"$50,000 - $70,000 a month",Magic Compass Securities Limited,"Wan Chai, Hong Kong Island"
Senior AI Specialist (Ref: Et),"$26,000 - $36,000 a month",JFE Consulting Limited,"Quarry Bay, Hong Kong Island"
Intern or Research Assistant in AI/Digital Health,Full-time +1,Laboratory of Data Discovery for Health Limited,Hong Kong
AI Specialist,Permanent,Manpower,"Quarry Bay, Hong Kong Island"
AML Manager - Model Validation/Data Analytics,Permanent,Bank Of China (Hong Kong) Limited,Hong Kong
Deep Learning Quant Developer / Researcher,Full-time,Phaidon International,Hong Kong
Senior Machine Learning Engineer / Tier-one hedge fund – Hong Kong,Permanent,BAH Partners,Hong Kong
Lead Advanced Analytics Manager - Data Science & Governance,Permanent,The Bank of East Asia,Hong Kong
Assistant Vice President / Associate - People Analytics - Human Resources,Permanent,Hong Kong Exchanges and Clearing Limited,Hong Kong
Programmer(Data Science),Full-time +1,Logistics and Supply Chain MultiTech R&D Centre...,Hong Kong
[Relocation Opportunity] - Machine Learning Engineer(s) - HONG KONG,Permanent,BAH Partners,Hong Kong
"Manager, Data Science (Risk & Compliance)",Full-time +1,Octopus Holdings Limited,Hong Kong
"AVP / VP, Big Data Analytics & Machine Learning",Full-time +1,China Construction Bank (Asia) Corporation Limited,Hong Kong
"Senior Associate/ Associate, Data/Business Analytics & Campaign Management, Consumer Banking",Permanent,DBS Bank (Hong Kong) Limited,Hong Kong
Senior Data Science Analyst,Full-time +1,AXA Hong Kong,Hong Kong
Senior AI Specialist,Full-time,JFE Consulting Limited,Hong Kong
Senior Data Scientist,Permanent,JC Executive Search,"Central, Hong Kong Island"
Data Science Manager - Banking,Full-time +1,Michael Page,Hong Kong
Machine Learning Engineer x 1,"$52,000 a month",Pacific Careers,"Quarry Bay, Hong Kong Island"
Technical Manager/Assistant Technical Manager/Senior Technical Officer/Technical Officer (holding the functional title of Data Scientist or Data Analyst),Full-time,Hong Kong University,"Pok Fu Lam, Hong Kong Island"
Data Analytics Manager - 50k MAX (Finance Project),"$50,000 a month",Protiviti,"Wan Chai, Hong Kong Island"
Machine Learning Engineer,Full-time +1,AS Watson Retail (HK) Limited,Hong Kong
Machine Learning Engineer,Full-time,AS Watson,"Hung Hom, Kowloon"
Data Engineer (NLP),"$50,000 a month",Robert Half,"Central, Hong Kong Island"
(Senior) AI Specialist,Full-time +1,ulifestyle.com.hk,Hong Kong
Analytics Manager,Full-time,DFI Retail Group DFI 零售集團,Hong Kong
"Associate Product Owner, Credit Risk - Mox",Full-time +1,Standard Chartered Bank,Hong Kong
Machine Learning Engineer / Prop Trading Firm / Crypto Exchange / 3+ years (HK),Permanent,BAH Partners,Hong Kong
Research Associate / RA I / RA II - Natural Language Processing Specialist (R7046) (A&SS) (Ref: 240009F),Full-time,Hong Kong Metropolitan University,Hong Kong
