job_position,job_link,job_id,company_name,company_profile,job_location,job_posting_date
Data Scientists,https://hk.linkedin.com/jobs/view/data-scientists-at-mox-bank-3787292979?refId=x6DB6GuVh8xg%2FpgDongbIw%3D%3D&trackingId=Orth5A2iK9DwWIcWQBvFKA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,3787292979,Mox Bank,https://hk.linkedin.com/company/mox-bank?trk=public_jobs_jserp-result_job-search-card-subtitle,"Hong Kong, Hong Kong SAR",2024-02-20
Machine Learning (ML) Engineer,https://hk.linkedin.com/jobs/view/machine-learning-ml-engineer-at-unison-consulting-3833408567?refId=x6DB6GuVh8xg%2FpgDongbIw%3D%3D&trackingId=nENxFFaR7ceE31BR8Y4jBg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,3833408567,Unison Consulting,https://www.linkedin.com/company/unison-consulting-pte-ltd?trk=public_jobs_jserp-result_job-search-card-subtitle,"Hong Kong, Hong Kong SAR",2024-02-17
Data Scientist,https://hk.linkedin.com/jobs/view/data-scientist-at-phoenix-labs-3834861951?refId=x6DB6GuVh8xg%2FpgDongbIw%3D%3D&trackingId=y%2Buu3k3YsTSbHmTqnBcDPw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,3834861951,Phoenix Labs,https://ca.linkedin.com/company/phoenix-labs?trk=public_jobs_jserp-result_job-search-card-subtitle,Hong Kong SAR,2024-02-26
Machine Learning Engineer (Python) | 40-50K+,https://hk.linkedin.com/jobs/view/machine-learning-engineer-python-40-50k%2B-at-venturenix-3836844245?refId=x6DB6GuVh8xg%2FpgDongbIw%3D%3D&trackingId=KojmgyNbJ1LHGWgqfIhAGw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,3836844245,Venturenix,https://hk.linkedin.com/company/venturenix-limited?trk=public_jobs_jserp-result_job-search-card-subtitle,"Wan Chai, Hong Kong SAR",2024-02-23
Data Scientist,https://hk.linkedin.com/jobs/view/data-scientist-at-midas-analytics-3821022608?refId=x6DB6GuVh8xg%2FpgDongbIw%3D%3D&trackingId=zMu7Cq2HZr5HJH6sBgxI%2Bw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,3821022608,Midas Analytics,https://hk.linkedin.com/company/midasanalyticsai?trk=public_jobs_jserp-result_job-search-card-subtitle,Hong Kong SAR,2024-02-23
Data Scientist - BCG X,https://hk.linkedin.com/jobs/view/data-scientist-bcg-x-at-bcg-x-3836075636?refId=x6DB6GuVh8xg%2FpgDongbIw%3D%3D&trackingId=fscv%2BnE78HylxOcZZxAx7w%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,3836075636,BCG X,https://www.linkedin.com/company/bcg-x?trk=public_jobs_jserp-result_job-search-card-subtitle,"Hong Kong, Hong Kong SAR",2024-02-21
Machine Learning Engineer,https://hk.linkedin.com/jobs/view/machine-learning-engineer-at-ai-staffing-ninja-3830346546?refId=x6DB6GuVh8xg%2FpgDongbIw%3D%3D&trackingId=WegnCoHqXx%2Fycz6rMlpkQg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,3830346546,AI Staffing Ninja,https://www.linkedin.com/company/ai-staffing-ninja?trk=public_jobs_jserp-result_job-search-card-subtitle,"Hong Kong, Hong Kong SAR",2024-02-19
Data Scientist,https://hk.linkedin.com/jobs/view/data-scientist-at-bah-partners-3838040724?refId=x6DB6GuVh8xg%2FpgDongbIw%3D%3D&trackingId=CexmPh4k4Fw39ADlWMsTYg%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,3838040724,BAH Partners,https://hk.linkedin.com/company/bah?trk=public_jobs_jserp-result_job-search-card-subtitle,"Hong Kong, Hong Kong SAR",2024-02-23
Data Scientist,https://hk.linkedin.com/jobs/view/data-scientist-at-links-international-3803004199?refId=x6DB6GuVh8xg%2FpgDongbIw%3D%3D&trackingId=xXxwpOMS%2FmylPd7fRgE6eQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,3803004199,Links International,https://hk.linkedin.com/company/links-recruitment-limited?trk=public_jobs_jserp-result_job-search-card-subtitle,"Hong Kong, Hong Kong SAR",2024-01-16
Data Scientist,https://hk.linkedin.com/jobs/view/data-scientist-at-ai-staffing-ninja-3830970916?refId=x6DB6GuVh8xg%2FpgDongbIw%3D%3D&trackingId=fKCu2nstumBJWXu6xs2D%2FA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,3830970916,AI Staffing Ninja,https://www.linkedin.com/company/ai-staffing-ninja?trk=public_jobs_jserp-result_job-search-card-subtitle,"Hong Kong, Hong Kong SAR",2024-02-20
